,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
36430,36431,18-30,Male,Intermediate,26,8,23,87,56,58,95,10,2,A,7,1,38,9,19,D
36778,36779,18-30,Male,Intermediate,10,16,9,13,51,73,46,6,1,A,8,25,49,7,18,R
37506,37507,18-30,Male,Intermediate,4,2,8,85,33,81,74,7,4,A,1,30,37,13,12,R
36790,36791,18-30,Male,Intermediate,2,7,3,76,72,75,87,5,0,A,17,0,6,15,25,D
36796,36797,18-30,Male,Intermediate,7,18,25,41,50,61,22,0,3,B,5,13,8,11,20,D
37458,37459,18-30,Male,Intermediate,23,20,6,44,99,50,63,9,3,A,15,3,48,10,11,D
37455,37456,18-30,Male,Intermediate,37,14,9,74,28,9,9,2,4,C,4,26,33,15,9,D
37423,37424,18-30,Male,Intermediate,8,16,6,90,95,33,42,10,1,B,6,15,0,7,26,R
37326,37327,18-30,Male,Intermediate,23,7,19,93,45,40,93,7,0,C,12,20,31,2,23,D
37325,37326,18-30,Male,Intermediate,21,23,8,36,47,18,88,10,0,B,17,17,9,3,30,R
91765,91766,18-30,Male,Intermediate,8,23,10,56,90,89,42,3,2,C,6,35,33,2,30,D
37208,37209,18-30,Male,Intermediate,43,2,10,7,78,15,91,9,2,C,18,23,15,18,19,R
37165,37166,18-30,Male,Intermediate,13,8,23,64,65,0,16,4,0,A,11,18,0,10,2,D
37142,37143,18-30,Male,Intermediate,40,21,23,41,32,44,95,3,4,B,11,23,36,18,0,D
37040,37041,18-30,Male,Intermediate,31,23,22,38,38,74,28,0,2,C,13,14,0,14,14,D
37026,37027,18-30,Male,Intermediate,42,1,23,84,69,73,34,7,1,B,5,27,12,15,9,D
37016,37017,18-30,Male,Intermediate,16,20,25,61,10,48,73,4,0,A,2,25,18,17,27,R
37007,37008,18-30,Male,Intermediate,11,4,5,53,13,25,28,8,2,A,16,29,13,10,1,R
37002,37003,18-30,Male,Intermediate,7,20,9,54,1,92,25,5,0,A,2,8,34,4,27,R
36946,36947,18-30,Male,Intermediate,50,7,16,78,70,51,19,4,0,A,11,7,23,15,1,R
36936,36937,18-30,Male,Intermediate,15,11,8,46,45,62,26,0,3,C,2,13,34,8,19,D
36827,36828,18-30,Male,Intermediate,42,16,19,67,5,27,11,5,3,C,10,23,50,5,13,R
36792,36793,18-30,Male,Intermediate,40,30,19,57,36,100,94,0,3,C,5,31,31,7,22,R
38489,38490,18-30,Male,Intermediate,10,21,2,68,71,87,94,3,1,C,5,8,28,9,2,D
38526,38527,18-30,Male,Intermediate,31,6,0,63,59,79,25,1,0,C,7,5,14,1,26,R
38531,38532,18-30,Male,Intermediate,24,19,16,51,59,80,3,5,1,C,5,14,24,4,25,R
40256,40257,18-30,Male,Intermediate,7,15,18,14,86,77,31,8,4,A,11,22,21,14,13,R
91177,91178,18-30,Male,Intermediate,9,10,8,32,24,1,95,5,0,A,17,34,30,10,23,R
40105,40106,18-30,Male,Intermediate,43,23,15,48,10,56,84,10,1,B,2,36,39,12,17,D
39954,39955,18-30,Male,Intermediate,13,14,22,79,63,19,69,8,2,A,5,30,16,13,11,D
91213,91214,18-30,Male,Intermediate,47,2,16,52,9,4,9,10,4,C,9,24,20,2,13,D
39903,39904,18-30,Male,Intermediate,47,2,20,29,73,68,35,9,4,B,5,36,13,8,9,D
39898,39899,18-30,Male,Intermediate,46,16,12,37,51,77,23,2,3,A,2,22,9,1,27,D
39861,39862,18-30,Male,Intermediate,33,28,9,59,51,0,23,2,3,B,2,23,13,15,29,R
39852,39853,18-30,Male,Intermediate,4,10,20,58,33,15,42,8,4,B,12,18,25,4,19,D
39826,39827,18-30,Male,Intermediate,2,27,8,4,6,71,72,5,1,B,9,9,25,9,17,D
39817,39818,18-30,Male,Intermediate,15,9,12,0,76,36,27,8,0,B,14,14,45,9,10,D
39771,39772,18-30,Male,Intermediate,47,20,18,77,80,52,34,4,0,A,17,27,43,4,22,R
39763,39764,18-30,Male,Intermediate,30,4,15,36,7,50,35,2,3,A,4,18,44,16,9,D
39760,39761,18-30,Male,Intermediate,7,9,20,87,61,12,39,10,4,C,15,1,15,17,17,D
91235,91236,18-30,Male,Intermediate,21,15,23,78,67,57,20,7,1,A,12,20,4,14,27,R
39713,39714,18-30,Male,Intermediate,32,17,7,70,48,46,35,0,4,A,1,31,7,20,2,R
39671,39672,18-30,Male,Intermediate,44,25,24,26,73,13,92,2,3,A,13,6,0,9,15,D
40263,40264,18-30,Male,Intermediate,20,7,16,8,83,59,88,9,4,C,12,23,28,3,28,R
91239,91240,18-30,Male,Intermediate,50,24,22,75,94,37,24,9,1,C,9,22,0,4,5,R
40272,40273,18-30,Male,Intermediate,19,15,16,66,33,96,57,1,0,B,16,26,12,7,18,D
91164,91165,18-30,Male,Intermediate,24,22,3,57,82,81,97,10,4,C,4,35,43,15,13,D
40805,40806,18-30,Male,Intermediate,46,20,13,25,66,88,15,6,3,B,8,25,25,13,25,R
40737,40738,18-30,Male,Intermediate,21,19,0,43,49,1,26,2,2,B,16,20,10,15,8,R
91066,91067,18-30,Male,Intermediate,36,28,8,37,3,78,55,1,1,C,7,31,32,11,25,D
40695,40696,18-30,Male,Intermediate,46,26,6,33,35,41,61,1,1,A,7,22,14,9,22,R
91079,91080,18-30,Male,Intermediate,31,8,24,9,22,56,79,0,3,A,10,18,47,2,8,R
40643,40644,18-30,Male,Intermediate,11,22,1,43,99,46,93,0,2,B,10,3,22,20,18,R
40599,40600,18-30,Male,Intermediate,49,4,23,72,39,12,35,8,3,A,2,13,8,15,21,R
40595,40596,18-30,Male,Intermediate,7,9,9,14,53,96,84,5,2,B,11,2,39,17,24,R
40582,40583,18-30,Male,Intermediate,33,21,20,4,39,52,79,9,0,B,0,12,7,3,22,R
40515,40516,18-30,Male,Intermediate,30,20,12,57,98,8,24,4,4,C,16,35,5,17,28,D
40509,40510,18-30,Male,Intermediate,1,17,21,57,70,80,54,7,3,C,13,35,14,7,21,D
40481,40482,18-30,Male,Intermediate,25,25,14,50,70,92,81,8,2,A,6,16,1,2,27,D
40477,40478,18-30,Male,Intermediate,37,3,23,70,5,23,78,7,3,B,11,10,42,1,15,R
40460,40461,18-30,Male,Intermediate,49,0,10,69,53,46,48,0,0,A,4,34,21,11,6,R
40385,40386,18-30,Male,Intermediate,1,4,9,66,35,34,62,6,0,C,13,15,2,2,1,R
40382,40383,18-30,Male,Intermediate,34,19,13,99,82,90,71,5,0,C,15,18,18,19,7,R
40349,40350,18-30,Male,Intermediate,42,29,24,50,55,19,9,5,0,C,4,18,3,8,20,R
40281,40282,18-30,Male,Intermediate,8,10,17,49,76,19,22,0,1,A,0,20,7,3,30,R
91281,91282,18-30,Male,Intermediate,37,8,9,0,26,72,5,6,2,A,15,23,24,0,22,D
39577,39578,18-30,Male,Intermediate,50,23,0,51,60,10,85,5,4,B,8,31,5,11,12,D
91283,91284,18-30,Male,Intermediate,36,30,19,96,33,40,39,8,2,C,3,14,37,20,14,R
38947,38948,18-30,Male,Intermediate,23,27,13,12,51,15,91,2,4,B,18,32,37,6,16,R
38883,38884,18-30,Male,Intermediate,3,24,4,67,79,4,20,8,1,A,16,36,26,18,6,D
38874,38875,18-30,Male,Intermediate,45,13,19,31,3,28,60,1,2,C,8,10,8,16,11,R
38810,38811,18-30,Male,Intermediate,40,12,19,31,91,94,70,8,3,B,15,5,24,7,9,D
38790,38791,18-30,Male,Intermediate,29,20,3,4,19,20,41,0,1,B,9,22,15,14,14,R
38766,38767,18-30,Male,Intermediate,45,5,4,71,7,3,74,3,3,A,12,16,35,5,2,R
38762,38763,18-30,Male,Intermediate,20,23,5,12,63,23,31,3,3,B,18,27,37,2,24,D
38750,38751,18-30,Male,Intermediate,7,15,2,81,19,33,85,5,2,A,11,9,41,19,14,D
38704,38705,18-30,Male,Intermediate,46,24,20,25,3,93,82,0,2,C,11,17,31,16,13,R
38688,38689,18-30,Male,Intermediate,35,21,15,31,28,14,89,2,3,A,14,26,31,11,17,R
38683,38684,18-30,Male,Intermediate,26,30,25,98,45,32,82,9,0,C,4,17,45,17,5,D
38659,38660,18-30,Male,Intermediate,31,16,14,28,48,90,23,0,0,C,2,3,28,8,3,R
38620,38621,18-30,Male,Intermediate,20,3,17,16,75,4,4,8,4,A,5,9,49,2,6,R
38602,38603,18-30,Male,Intermediate,34,22,1,37,84,69,36,6,1,B,1,30,39,20,2,R
91525,91526,18-30,Male,Intermediate,14,3,21,86,77,89,37,0,1,A,16,9,30,15,18,R
38574,38575,18-30,Male,Intermediate,22,7,12,21,28,15,47,6,3,A,17,33,22,6,26,R
38542,38543,18-30,Male,Intermediate,16,13,0,50,95,73,59,0,4,B,1,3,19,13,21,D
91438,91439,18-30,Male,Intermediate,30,24,15,56,84,81,83,10,2,B,6,14,44,8,9,D
91413,91414,18-30,Male,Intermediate,24,26,0,42,27,48,28,9,0,A,0,33,33,2,15,D
39007,39008,18-30,Male,Intermediate,14,3,5,47,10,3,30,2,0,C,2,12,32,15,1,D
39017,39018,18-30,Male,Intermediate,29,11,4,26,42,57,47,2,2,B,10,35,25,4,25,R
39562,39563,18-30,Male,Intermediate,35,0,13,27,32,13,94,3,2,B,1,24,8,17,8,D
39539,39540,18-30,Male,Intermediate,0,11,1,39,25,34,50,9,2,C,6,36,22,17,8,R
39504,39505,18-30,Male,Intermediate,35,28,1,17,32,98,78,6,3,B,6,34,10,13,16,R
39402,39403,18-30,Male,Intermediate,49,20,22,96,13,43,81,0,3,C,10,13,16,3,4,R
39382,39383,18-30,Male,Intermediate,21,3,0,68,70,66,78,3,0,C,5,23,15,7,2,D
39340,39341,18-30,Male,Intermediate,11,5,14,62,43,19,2,1,0,C,7,1,14,10,9,D
39332,39333,18-30,Male,Intermediate,2,16,18,57,5,51,64,5,4,B,3,31,44,15,18,R
39326,39327,18-30,Male,Intermediate,38,17,20,15,83,20,58,10,1,B,9,29,5,5,1,D
36425,36426,18-30,Male,Intermediate,17,22,21,88,16,44,55,6,4,C,13,36,13,5,2,R
39307,39308,18-30,Male,Intermediate,50,24,1,42,72,71,64,1,1,A,15,28,43,1,14,R
39197,39198,18-30,Male,Intermediate,16,10,20,63,47,47,67,1,4,C,6,29,24,9,14,R
39188,39189,18-30,Male,Intermediate,47,14,19,80,53,75,8,1,1,C,10,25,7,2,25,D
39179,39180,18-30,Male,Intermediate,20,4,15,40,9,56,15,2,1,B,3,19,49,14,5,D
39105,39106,18-30,Male,Intermediate,34,1,16,67,44,31,56,6,2,B,11,29,41,0,4,D
91382,91383,18-30,Male,Intermediate,11,5,17,81,25,59,14,4,2,C,6,6,43,6,15,R
39069,39070,18-30,Male,Intermediate,4,30,1,69,47,26,34,9,3,A,2,20,27,19,9,R
39060,39061,18-30,Male,Intermediate,29,7,14,53,26,74,4,4,1,A,13,18,41,14,12,D
39027,39028,18-30,Male,Intermediate,28,11,20,85,90,27,48,7,4,A,7,0,37,16,26,R
39256,39257,18-30,Male,Intermediate,37,13,18,70,58,5,90,6,4,A,10,5,28,12,0,R
36421,36422,18-30,Male,Intermediate,7,22,14,42,50,91,100,2,4,C,0,19,26,20,2,R
36419,36420,18-30,Male,Intermediate,5,7,25,86,37,70,18,4,1,A,7,12,9,6,2,D
36368,36369,18-30,Male,Intermediate,16,3,0,25,12,63,35,4,2,A,7,28,3,19,6,R
34001,34002,18-30,Male,Intermediate,34,16,13,69,97,41,4,4,4,C,16,33,3,14,14,R
92558,92559,18-30,Male,Intermediate,38,22,23,27,42,90,67,4,4,C,0,35,3,10,16,R
33988,33989,18-30,Male,Intermediate,0,25,20,86,5,31,56,8,2,A,18,34,48,17,22,R
33977,33978,18-30,Male,Intermediate,11,15,12,82,88,44,31,8,2,A,0,11,0,2,9,R
33968,33969,18-30,Male,Intermediate,31,16,21,4,83,27,5,3,3,B,8,18,28,17,21,R
33958,33959,18-30,Male,Intermediate,30,19,6,30,26,74,99,7,3,C,10,13,33,20,12,D
33941,33942,18-30,Male,Intermediate,7,3,21,73,43,28,82,2,4,A,13,0,16,16,17,R
33911,33912,18-30,Male,Intermediate,38,22,1,20,0,50,0,2,1,A,2,19,12,20,6,D
33889,33890,18-30,Male,Intermediate,50,8,17,92,20,44,22,3,3,A,7,35,0,0,19,D
33818,33819,18-30,Male,Intermediate,21,17,19,88,63,68,46,7,0,C,0,9,1,10,4,R
33814,33815,18-30,Male,Intermediate,14,4,6,85,16,39,58,4,0,B,3,6,7,1,25,R
33776,33777,18-30,Male,Intermediate,33,29,3,70,29,44,26,10,0,C,10,17,6,18,6,R
92617,92618,18-30,Male,Intermediate,22,28,7,77,43,85,17,7,1,A,0,14,24,13,2,R
33755,33756,18-30,Male,Intermediate,36,19,12,29,78,7,51,3,2,C,16,15,20,9,2,D
92630,92631,18-30,Male,Intermediate,13,29,13,60,2,46,14,1,0,A,8,13,9,13,14,D
33740,33741,18-30,Male,Intermediate,12,20,0,43,41,61,36,10,1,B,18,23,30,16,12,R
33718,33719,18-30,Male,Intermediate,27,14,12,79,25,77,14,5,4,A,12,21,31,18,7,D
34003,34004,18-30,Male,Intermediate,40,0,5,39,67,82,88,1,3,A,9,36,19,16,12,D
33554,33555,18-30,Male,Intermediate,44,26,8,58,65,80,6,7,2,A,12,28,27,13,3,D
34010,34011,18-30,Male,Intermediate,13,8,7,59,36,36,61,8,2,C,7,6,7,8,29,D
34043,34044,18-30,Male,Intermediate,1,7,19,99,81,40,25,1,4,A,17,31,28,0,0,R
34594,34595,18-30,Male,Intermediate,31,14,19,17,57,72,35,4,3,C,4,9,14,16,0,R
34593,34594,18-30,Male,Intermediate,28,13,15,26,5,28,38,7,3,B,5,0,5,9,16,D
34588,34589,18-30,Male,Intermediate,0,25,25,82,95,63,75,7,0,B,16,26,20,6,4,D
92418,92419,18-30,Male,Intermediate,39,17,22,20,15,1,17,1,2,A,3,10,32,13,22,D
92424,92425,18-30,Male,Intermediate,46,2,13,84,74,30,90,5,1,C,4,18,49,3,18,R
34546,34547,18-30,Male,Intermediate,50,7,2,37,19,69,81,1,4,A,15,15,34,9,30,D
34534,34535,18-30,Male,Intermediate,41,17,4,93,23,30,10,3,2,C,12,6,3,4,5,R
34500,34501,18-30,Male,Intermediate,28,12,17,84,27,38,37,4,0,A,14,14,21,8,9,D
34482,34483,18-30,Male,Intermediate,39,16,5,93,62,34,81,2,3,B,2,22,31,11,5,R
34399,34400,18-30,Male,Intermediate,6,30,23,63,99,99,43,10,4,B,8,19,24,17,28,D
34374,34375,18-30,Male,Intermediate,23,8,9,5,40,77,14,8,3,C,17,12,47,4,20,R
92478,92479,18-30,Male,Intermediate,22,27,15,63,20,39,1,0,1,C,0,21,1,4,18,D
34266,34267,18-30,Male,Intermediate,12,5,16,60,43,3,5,4,3,B,17,11,5,9,11,D
34253,34254,18-30,Male,Intermediate,41,8,0,38,56,38,51,4,0,B,14,29,13,0,14,R
34229,34230,18-30,Male,Intermediate,20,29,16,1,34,44,70,5,4,C,15,23,14,10,22,D
34142,34143,18-30,Male,Intermediate,49,22,9,68,62,79,81,9,4,A,14,26,13,19,15,R
34056,34057,18-30,Male,Intermediate,9,11,14,28,35,31,42,4,2,B,3,20,46,2,12,D
34024,34025,18-30,Male,Intermediate,10,0,7,86,48,1,1,0,4,B,16,17,50,15,16,R
33539,33540,18-30,Male,Intermediate,43,28,22,9,86,63,36,6,1,C,13,8,34,4,15,D
33537,33538,18-30,Male,Intermediate,10,26,11,36,16,38,84,5,3,C,5,23,44,16,10,D
33534,33535,18-30,Male,Intermediate,8,14,1,21,79,15,76,8,0,B,11,11,48,0,16,R
32983,32984,18-30,Male,Intermediate,44,19,23,63,3,62,88,6,2,A,1,34,34,5,30,R
32977,32978,18-30,Male,Intermediate,14,20,20,14,28,97,6,0,3,B,15,13,43,19,7,D
92885,92886,18-30,Male,Intermediate,30,17,9,8,72,7,54,10,4,C,9,20,29,20,30,D
92890,92891,18-30,Male,Intermediate,7,24,7,39,27,82,55,10,0,B,7,22,21,18,3,D
32884,32885,18-30,Male,Intermediate,23,12,23,22,74,81,31,3,4,B,6,8,49,16,8,R
32869,32870,18-30,Male,Intermediate,4,6,1,14,70,33,86,8,3,B,2,2,20,13,8,D
32862,32863,18-30,Male,Intermediate,27,21,19,26,67,52,59,8,2,B,18,17,29,15,22,D
32802,32803,18-30,Male,Intermediate,5,28,9,61,56,67,53,9,2,C,10,11,5,14,11,D
32793,32794,18-30,Male,Intermediate,27,22,25,55,36,2,90,5,3,B,3,34,30,0,24,D
32787,32788,18-30,Male,Intermediate,31,19,22,71,82,85,33,2,4,B,3,35,19,17,2,D
92896,92897,18-30,Male,Intermediate,49,3,11,44,38,83,80,2,3,A,4,12,26,3,5,D
32756,32757,18-30,Male,Intermediate,14,23,2,100,46,99,14,7,0,B,15,36,22,0,11,R
32754,32755,18-30,Male,Intermediate,16,15,19,12,5,80,99,6,2,A,1,10,31,8,2,R
32752,32753,18-30,Male,Intermediate,12,18,4,13,51,10,87,3,4,A,14,18,9,11,13,R
32744,32745,18-30,Male,Intermediate,30,26,10,17,24,92,30,9,4,A,17,24,12,12,20,D
32732,32733,18-30,Male,Intermediate,18,2,18,97,96,84,34,9,4,A,14,12,0,9,13,R
92898,92899,18-30,Male,Intermediate,15,30,9,41,64,66,32,6,2,C,15,8,7,19,27,D
32992,32993,18-30,Male,Intermediate,43,23,21,5,82,60,98,10,4,A,8,28,40,3,26,R
92835,92836,18-30,Male,Intermediate,38,6,13,13,83,49,25,8,0,C,7,30,28,20,8,R
92828,92829,18-30,Male,Intermediate,3,9,23,0,90,44,9,7,2,B,14,16,2,20,11,R
33070,33071,18-30,Male,Intermediate,23,23,20,83,62,64,31,10,0,A,12,8,20,15,22,D
33487,33488,18-30,Male,Intermediate,24,2,7,69,24,68,99,0,1,B,17,5,31,14,24,D
92696,92697,18-30,Male,Intermediate,31,14,3,76,26,81,9,6,4,A,13,5,22,9,1,D
33478,33479,18-30,Male,Intermediate,32,15,9,73,5,41,76,5,1,C,8,8,18,13,15,R
33475,33476,18-30,Male,Intermediate,40,19,2,1,80,77,47,3,4,C,15,25,4,6,6,R
33463,33464,18-30,Male,Intermediate,5,8,8,12,42,77,16,6,2,C,0,2,2,1,27,D
33349,33350,18-30,Male,Intermediate,49,4,13,51,93,2,99,8,2,A,5,2,34,11,25,D
33329,33330,18-30,Male,Intermediate,47,11,4,76,9,4,80,6,2,C,3,6,27,11,11,R
92726,92727,18-30,Male,Intermediate,44,13,18,46,92,97,2,4,4,A,1,27,8,18,5,D
34607,34608,18-30,Male,Intermediate,9,16,1,24,82,81,3,1,1,C,12,23,30,9,13,D
92741,92742,18-30,Male,Intermediate,7,9,16,95,34,89,94,2,1,A,11,25,32,13,3,D
33228,33229,18-30,Male,Intermediate,22,0,11,37,51,0,64,6,0,C,17,15,23,4,29,R
33213,33214,18-30,Male,Intermediate,6,23,14,14,26,31,41,0,4,A,13,13,33,1,0,R
33197,33198,18-30,Male,Intermediate,43,3,19,20,90,75,77,0,1,B,16,6,17,13,5,R
92762,92763,18-30,Male,Intermediate,32,5,16,60,12,29,100,0,3,A,14,12,5,13,15,R
33167,33168,18-30,Male,Intermediate,50,14,10,97,0,91,31,1,2,C,10,19,7,5,24,D
33151,33152,18-30,Male,Intermediate,46,6,21,43,67,46,47,2,2,C,7,14,40,18,2,R
33147,33148,18-30,Male,Intermediate,8,11,7,62,15,60,94,10,0,B,3,16,35,6,29,R
33123,33124,18-30,Male,Intermediate,22,14,22,49,12,6,71,10,0,B,10,36,23,17,30,R
33239,33240,18-30,Male,Intermediate,12,24,15,34,28,64,69,2,3,A,16,20,35,6,20,R
40817,40818,18-30,Male,Intermediate,39,6,5,41,85,56,33,1,4,B,11,21,24,11,11,R
34684,34685,18-30,Male,Intermediate,3,14,25,79,78,74,45,8,1,A,6,18,6,1,8,R
34716,34717,18-30,Male,Intermediate,32,25,17,19,35,95,30,3,2,C,13,29,46,5,18,R
35991,35992,18-30,Male,Intermediate,49,28,4,70,81,87,38,7,3,B,16,15,13,16,25,R
35960,35961,18-30,Male,Intermediate,22,30,25,82,30,91,36,9,2,A,18,28,39,17,27,D
35951,35952,18-30,Male,Intermediate,11,1,2,84,82,57,99,3,3,B,11,11,45,8,13,R
92016,92017,18-30,Male,Intermediate,31,30,2,74,14,82,40,9,4,A,14,8,48,7,11,R
35926,35927,18-30,Male,Intermediate,30,17,3,17,10,92,64,2,4,A,3,27,17,19,3,R
35880,35881,18-30,Male,Intermediate,11,24,13,8,75,83,30,1,4,C,16,16,4,8,22,R
35843,35844,18-30,Male,Intermediate,24,9,8,10,21,57,68,7,4,A,2,23,15,9,8,D
35778,35779,18-30,Male,Intermediate,0,4,23,66,95,9,79,5,0,B,13,30,8,8,28,R
35747,35748,18-30,Male,Intermediate,3,10,9,37,59,54,93,9,3,B,18,12,37,7,1,D
92085,92086,18-30,Male,Intermediate,30,23,2,33,30,96,72,4,2,C,7,31,45,19,3,D
35679,35680,18-30,Male,Intermediate,27,29,4,24,70,85,89,5,0,A,2,5,48,8,28,D
