,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
47536,47537,18-30,Male,Beginner,46,20,2,32,89,84,44,5,2,B,1,8,37,16,9,R
47463,47464,18-30,Male,Beginner,35,20,22,11,49,24,39,0,4,C,1,19,2,6,13,R
47464,47465,18-30,Male,Beginner,37,30,25,21,54,14,60,10,4,C,15,26,42,16,11,D
4376,4377,18-30,Male,Beginner,14,23,10,84,27,30,68,7,0,B,17,18,20,0,3,D
96473,96474,18-30,Male,Beginner,16,26,13,64,81,13,51,8,3,A,0,25,7,13,5,R
50500,50501,18-30,Male,Beginner,18,24,5,67,68,10,26,10,3,A,9,13,47,12,14,R
3888,3889,18-30,Male,Beginner,16,24,22,25,65,90,60,10,4,B,7,3,17,15,20,D
47481,47482,18-30,Male,Beginner,19,4,19,72,16,63,35,3,3,C,11,26,18,11,24,R
96479,96480,18-30,Male,Beginner,42,13,22,33,28,16,57,0,1,A,3,7,31,5,26,R
50677,50678,18-30,Male,Beginner,42,12,17,12,9,87,20,9,4,C,8,15,21,5,7,D
50660,50661,18-30,Male,Beginner,23,2,17,40,53,15,95,7,1,B,14,34,40,18,4,D
47519,47520,18-30,Male,Beginner,16,25,18,70,98,75,59,7,3,B,5,26,17,20,8,R
3306,3307,18-30,Male,Beginner,32,22,24,18,83,72,84,0,4,C,7,20,5,18,18,D
47526,47527,18-30,Male,Beginner,5,0,25,25,69,0,30,10,3,C,5,32,11,9,12,R
3460,3461,18-30,Male,Beginner,50,12,5,24,4,77,30,1,0,B,1,32,7,14,10,D
96556,96557,18-30,Male,Beginner,8,22,9,63,8,37,20,8,4,B,8,32,47,4,18,R
96459,96460,18-30,Male,Beginner,1,12,25,67,32,6,76,9,2,B,7,6,27,16,2,R
50638,50639,18-30,Male,Beginner,48,0,5,85,31,70,74,3,4,B,2,0,9,0,24,R
3431,3432,18-30,Male,Beginner,32,4,10,86,31,91,39,7,3,C,7,32,40,12,17,D
50628,50629,18-30,Male,Beginner,5,18,10,0,26,4,49,9,3,A,14,27,37,20,28,R
96477,96478,18-30,Male,Beginner,20,5,4,58,15,92,69,10,1,A,6,34,25,8,5,R
3901,3902,18-30,Male,Beginner,46,7,7,23,90,69,68,3,0,B,12,15,25,12,5,R
50317,50318,18-30,Male,Beginner,4,21,8,48,39,65,47,4,2,B,18,0,42,0,16,D
50081,50082,18-30,Male,Beginner,10,1,1,90,23,71,77,9,2,B,16,10,49,7,10,R
51149,51150,18-30,Male,Beginner,25,11,14,40,42,37,40,5,0,B,6,3,23,10,27,R
51145,51146,18-30,Male,Beginner,16,30,21,33,60,84,79,8,3,B,2,27,39,5,22,R
21029,21030,18-30,Male,Beginner,47,22,16,94,64,83,25,5,3,B,13,20,33,3,12,D
21019,21020,18-30,Male,Beginner,50,30,0,46,96,26,4,10,1,A,15,36,31,4,10,R
49065,49066,18-30,Male,Beginner,7,2,18,41,24,93,82,0,3,C,1,4,18,0,12,R
51307,51308,18-30,Male,Beginner,22,7,19,41,28,100,25,6,1,C,0,28,36,7,15,R
49168,49169,18-30,Male,Beginner,39,29,23,2,18,43,70,1,4,C,3,5,37,11,13,D
49187,49188,18-30,Male,Beginner,23,6,18,3,25,85,89,2,3,A,0,26,4,14,16,D
49306,49307,18-30,Male,Beginner,29,28,20,25,45,82,56,8,4,C,0,28,32,5,7,D
49329,49330,18-30,Male,Beginner,31,5,23,35,78,79,32,10,2,B,3,8,21,10,4,R
49339,49340,18-30,Male,Beginner,21,16,18,14,55,8,53,1,0,C,13,17,10,0,15,D
49377,49378,18-30,Male,Beginner,36,6,11,83,11,74,36,2,0,B,2,19,0,7,15,D
51249,51250,18-30,Male,Beginner,9,24,19,11,33,88,89,6,4,C,14,27,6,7,13,D
51232,51233,18-30,Male,Beginner,38,15,25,56,89,60,67,7,1,C,0,32,34,12,28,D
79137,79138,18-30,Male,Beginner,1,7,0,87,90,27,44,5,0,C,5,9,19,6,9,R
79255,79256,18-30,Male,Beginner,9,2,0,99,65,0,50,3,1,B,9,20,44,20,19,D
49385,49386,18-30,Male,Beginner,46,11,8,66,74,49,91,6,0,A,10,4,41,19,24,D
79431,79432,18-30,Male,Beginner,0,26,17,37,56,37,10,5,4,B,18,10,6,2,7,R
21071,21072,18-30,Male,Beginner,25,7,4,83,47,22,71,4,0,A,2,7,26,1,2,D
49292,49293,18-30,Male,Beginner,15,28,18,43,39,9,11,5,2,A,10,2,24,8,8,D
50965,50966,18-30,Male,Beginner,44,7,1,54,31,17,87,6,4,A,5,34,4,13,24,R
50958,50959,18-30,Male,Beginner,20,0,17,92,70,40,7,5,1,B,1,11,31,17,24,D
79362,79363,18-30,Male,Beginner,50,12,16,6,61,30,35,10,1,A,6,22,0,18,27,R
79364,79365,18-30,Male,Beginner,21,27,19,2,95,53,57,4,1,A,9,24,41,5,4,R
79371,79372,18-30,Male,Beginner,25,15,13,86,85,27,56,4,4,A,4,27,48,0,11,D
49048,49049,18-30,Male,Beginner,33,25,20,3,86,4,14,10,2,C,7,2,27,2,3,D
79099,79100,18-30,Male,Beginner,1,6,19,38,69,9,65,8,2,A,9,6,19,18,25,R
79253,79254,18-30,Male,Beginner,3,13,10,48,85,10,42,9,0,C,1,0,4,15,0,R
49046,49047,18-30,Male,Beginner,10,22,2,95,49,65,20,7,0,B,1,9,15,10,22,R
55323,55324,18-30,Male,Beginner,11,8,18,39,100,11,43,3,3,C,5,8,46,7,11,R
20451,20452,18-30,Male,Beginner,33,28,16,28,30,54,42,0,3,B,1,12,31,9,25,R
44979,44980,18-30,Male,Beginner,43,10,12,58,96,45,37,8,2,C,15,9,32,2,12,D
44981,44982,18-30,Male,Beginner,30,11,22,83,24,16,81,0,1,C,18,5,13,3,0,D
55288,55289,18-30,Male,Beginner,0,9,3,47,12,20,89,6,0,A,8,24,36,3,10,D
20402,20403,18-30,Male,Beginner,5,12,23,0,26,36,11,6,0,A,0,27,44,3,17,R
20394,20395,18-30,Male,Beginner,50,7,6,51,43,86,9,7,4,B,13,35,44,8,2,D
44993,44994,18-30,Male,Beginner,38,5,17,89,36,27,39,7,1,C,7,25,26,14,25,D
49079,49080,18-30,Male,Beginner,10,22,18,14,11,46,81,9,2,A,2,5,33,9,10,D
49089,49090,18-30,Male,Beginner,25,20,17,50,37,82,80,6,1,B,12,27,5,19,1,R
20498,20499,18-30,Male,Beginner,3,17,0,72,70,33,81,3,3,B,15,34,26,8,21,R
49123,49124,18-30,Male,Beginner,8,8,5,13,9,3,67,9,3,C,6,11,17,4,10,D
50937,50938,18-30,Male,Beginner,4,10,24,42,92,42,62,0,4,A,1,22,22,12,1,D
55406,55407,18-30,Male,Beginner,4,19,2,45,72,100,6,0,3,B,4,0,15,1,19,R
49142,49143,18-30,Male,Beginner,15,26,22,61,27,70,21,1,3,B,5,14,22,20,27,D
55384,55385,18-30,Male,Beginner,28,21,21,77,98,30,63,9,4,C,3,8,20,1,8,R
20558,20559,18-30,Male,Beginner,1,15,18,30,33,47,86,3,0,A,1,12,19,9,2,D
55377,55378,18-30,Male,Beginner,5,9,24,1,33,100,26,8,0,C,0,30,15,15,11,D
20541,20542,18-30,Male,Beginner,42,27,20,25,48,80,55,1,1,A,8,23,24,19,15,D
49076,49077,18-30,Male,Beginner,21,13,14,3,23,18,86,4,3,B,11,1,32,20,23,R
79715,79716,18-30,Male,Beginner,15,20,17,46,32,42,90,3,4,A,9,30,23,16,8,R
51215,51216,18-30,Male,Beginner,21,7,0,60,44,84,39,6,3,A,1,5,31,7,13,D
51214,51215,18-30,Male,Beginner,28,12,14,37,60,31,0,6,3,C,1,9,39,8,8,R
79077,79078,18-30,Male,Beginner,47,17,16,39,63,62,74,8,1,A,0,14,34,14,11,D
79178,79179,18-30,Male,Beginner,26,24,12,4,100,42,23,6,1,B,8,11,0,10,3,D
20752,20753,18-30,Male,Beginner,21,5,22,14,28,65,39,3,4,B,10,30,8,4,29,D
55405,55406,18-30,Male,Beginner,14,1,25,28,13,43,15,2,0,C,10,10,47,14,25,D
96048,96049,18-30,Male,Beginner,3,4,18,77,39,68,43,1,0,B,8,17,6,12,17,R
49289,49290,18-30,Male,Beginner,3,9,23,20,13,80,79,8,3,C,14,2,34,19,2,D
79385,79386,18-30,Male,Beginner,0,20,9,34,87,79,56,3,1,A,11,16,14,11,4,R
51372,51373,18-30,Male,Beginner,26,24,20,3,10,11,49,6,2,B,16,23,28,18,13,R
95597,95598,18-30,Male,Beginner,7,15,5,34,14,71,14,10,1,A,6,22,32,5,28,R
95600,95601,18-30,Male,Beginner,32,20,17,28,70,80,67,10,4,C,9,36,16,6,12,R
48830,48831,18-30,Male,Beginner,11,18,23,58,35,93,73,3,0,A,0,19,42,3,10,D
4247,4248,18-30,Male,Beginner,3,19,9,58,49,15,5,8,0,B,5,14,0,6,15,D
49930,49931,18-30,Male,Beginner,12,5,12,45,1,16,77,8,3,B,11,26,21,20,13,R
4205,4206,18-30,Male,Beginner,46,29,21,68,28,51,60,3,4,A,17,6,11,0,24,R
49865,49866,18-30,Male,Beginner,17,17,15,5,81,72,48,1,3,B,1,31,34,10,1,R
51320,51321,18-30,Male,Beginner,31,26,1,7,15,94,21,8,3,C,4,34,39,16,16,D
95835,95836,18-30,Male,Beginner,24,28,5,27,2,16,77,4,3,A,3,31,43,18,30,D
49898,49899,18-30,Male,Beginner,25,1,1,37,80,18,15,4,4,A,10,31,42,1,6,D
51488,51489,18-30,Male,Beginner,41,28,3,27,87,17,53,10,0,A,0,23,38,9,30,D
49902,49903,18-30,Male,Beginner,37,12,12,89,8,54,39,7,2,A,3,1,16,0,5,R
49908,49909,18-30,Male,Beginner,33,18,8,35,64,15,33,2,0,C,11,19,10,17,28,D
95894,95895,18-30,Male,Beginner,33,3,5,32,73,100,21,6,1,B,18,5,21,19,10,D
3935,3936,18-30,Male,Beginner,4,18,22,12,70,12,72,3,3,B,0,35,30,16,30,R
49814,49815,18-30,Male,Beginner,10,24,5,38,23,85,88,10,0,A,5,28,31,6,8,D
95910,95911,18-30,Male,Beginner,15,18,25,58,54,97,59,2,1,A,18,10,17,15,22,D
50033,50034,18-30,Male,Beginner,27,15,17,4,45,71,41,8,1,A,12,29,50,18,11,D
51421,51422,18-30,Male,Beginner,5,15,3,4,43,57,49,9,3,A,3,11,4,4,29,R
95911,95912,18-30,Male,Beginner,10,10,0,64,63,91,94,1,2,B,18,2,16,8,14,R
3932,3933,18-30,Male,Beginner,18,19,24,56,58,35,24,0,2,B,0,33,8,5,22,R
50051,50052,18-30,Male,Beginner,42,6,20,60,32,96,75,1,4,B,10,1,32,7,10,R
3928,3929,18-30,Male,Beginner,43,17,8,88,12,36,18,4,4,C,2,35,45,6,19,R
95743,95744,18-30,Male,Beginner,31,18,12,70,88,22,14,2,1,C,9,4,47,5,24,D
4088,4089,18-30,Male,Beginner,44,17,6,35,6,54,79,9,4,B,17,20,13,15,16,R
4102,4103,18-30,Male,Beginner,43,25,15,65,13,72,76,2,1,B,4,29,4,18,9,D
48959,48960,18-30,Male,Beginner,32,0,0,84,35,5,20,1,3,A,7,20,26,2,5,R
4120,4121,18-30,Male,Beginner,14,3,15,11,25,29,95,7,1,C,12,22,45,1,14,R
21141,21142,18-30,Male,Beginner,10,5,5,87,0,54,100,8,3,A,3,16,17,2,2,D
21113,21114,18-30,Male,Beginner,35,20,6,6,30,98,43,6,4,C,11,19,37,3,25,R
21105,21106,18-30,Male,Beginner,23,9,0,48,9,91,46,6,3,B,8,23,35,9,9,R
48779,48780,18-30,Male,Beginner,49,22,5,57,70,47,91,10,3,A,18,29,6,10,11,D
48782,48783,18-30,Male,Beginner,11,11,19,30,85,11,6,10,1,C,9,17,10,18,23,D
51072,51073,18-30,Male,Beginner,7,30,7,81,42,6,54,6,3,B,5,18,32,1,4,D
48810,48811,18-30,Male,Beginner,8,11,2,66,2,75,24,4,3,A,5,1,18,1,18,D
20815,20816,18-30,Male,Beginner,37,18,5,88,47,27,31,5,0,B,18,36,17,8,12,R
51120,51121,18-30,Male,Beginner,29,30,18,62,78,93,21,9,0,B,4,19,13,2,7,R
20812,20813,18-30,Male,Beginner,29,28,17,23,6,52,27,8,3,B,14,23,28,3,8,R
51588,51589,18-30,Male,Beginner,35,29,16,71,62,46,20,2,2,B,8,16,44,4,19,D
20787,20788,18-30,Male,Beginner,31,29,22,55,49,79,52,1,4,A,15,1,11,19,0,D
49279,49280,18-30,Male,Beginner,14,20,17,51,23,70,70,2,3,A,12,22,27,17,21,D
20785,20786,18-30,Male,Beginner,40,2,3,42,76,36,89,3,0,A,18,3,18,1,0,R
20767,20768,18-30,Male,Beginner,0,15,2,90,58,3,2,4,1,A,18,7,2,3,5,R
51522,51523,18-30,Male,Beginner,13,5,19,46,72,70,100,2,0,C,13,24,39,9,2,D
51514,51515,18-30,Male,Beginner,23,0,12,87,4,57,45,0,1,B,15,5,22,5,22,R
20923,20924,18-30,Male,Beginner,4,27,9,25,36,93,71,10,1,B,12,36,29,5,22,D
48723,48724,18-30,Male,Beginner,37,30,6,0,70,27,20,5,1,C,9,29,4,6,22,D
48727,48728,18-30,Male,Beginner,29,20,20,71,4,65,50,10,4,C,12,5,31,17,9,R
51702,51703,18-30,Male,Beginner,14,3,15,61,97,8,30,10,3,C,4,6,28,2,13,D
95696,95697,18-30,Male,Beginner,4,18,15,35,25,61,71,9,4,B,11,9,4,12,29,D
51681,51682,18-30,Male,Beginner,9,28,1,96,34,49,21,9,1,B,12,13,2,9,5,R
20909,20910,18-30,Male,Beginner,41,14,14,11,24,31,62,9,3,B,2,22,12,13,12,R
12500,12501,18-30,Male,Beginner,15,23,2,61,75,79,17,0,4,A,6,33,41,1,10,D
4121,4122,18-30,Male,Beginner,44,20,12,56,37,26,70,3,4,B,7,3,3,18,9,R
51558,51559,18-30,Male,Beginner,49,30,18,42,51,85,15,5,3,B,10,27,37,5,9,R
96052,96053,18-30,Male,Beginner,0,22,18,100,59,7,16,1,0,B,8,28,4,1,15,R
52560,52561,18-30,Male,Beginner,40,27,23,42,63,47,71,5,0,C,16,1,46,4,23,R
3771,3772,18-30,Male,Beginner,39,13,4,65,24,58,73,5,3,B,3,27,36,12,14,R
39513,39514,18-30,Male,Beginner,15,25,18,96,33,36,83,1,3,C,2,31,47,14,24,R
39519,39520,18-30,Male,Beginner,32,18,1,17,55,9,3,10,1,C,6,13,6,3,19,R
39523,39524,18-30,Male,Beginner,22,12,22,73,83,57,46,9,2,B,7,15,48,14,30,R
60315,60316,18-30,Male,Beginner,32,0,15,12,71,80,71,5,3,B,12,14,26,20,11,R
39541,39542,18-30,Male,Beginner,32,21,10,72,80,24,76,6,2,A,16,30,48,12,8,D
60304,60305,18-30,Male,Beginner,6,2,6,35,77,49,85,6,2,B,0,20,36,14,22,D
60297,60298,18-30,Male,Beginner,15,28,12,85,48,68,13,1,3,A,16,20,14,12,4,R
5055,5056,18-30,Male,Beginner,21,9,23,38,69,39,24,2,1,B,2,34,15,9,4,D
93865,93866,18-30,Male,Beginner,41,6,4,61,91,73,12,10,1,C,14,29,32,13,15,D
39394,39395,18-30,Male,Beginner,14,4,9,80,68,34,26,2,0,A,0,16,25,14,8,R
60265,60266,18-30,Male,Beginner,18,27,14,93,2,32,80,10,4,B,9,25,2,20,28,D
93878,93879,18-30,Male,Beginner,24,30,14,13,54,21,31,4,0,A,12,22,6,6,14,R
93880,93881,18-30,Male,Beginner,42,26,19,31,87,58,85,7,1,A,1,12,26,13,9,R
93919,93920,18-30,Male,Beginner,41,0,22,40,86,79,55,2,2,B,8,27,13,5,28,D
5021,5022,18-30,Male,Beginner,42,10,11,62,26,84,76,6,1,B,13,29,49,2,21,R
4994,4995,18-30,Male,Beginner,26,17,3,0,3,78,60,7,4,C,6,35,8,6,25,R
60417,60418,18-30,Male,Beginner,3,8,0,44,95,35,97,5,3,A,16,11,35,12,0,R
60405,60406,18-30,Male,Beginner,32,15,7,69,64,34,74,10,0,A,6,2,41,5,24,D
5071,5072,18-30,Male,Beginner,36,2,13,46,96,77,31,4,1,B,5,14,16,1,28,D
39731,39732,18-30,Male,Beginner,13,0,18,94,56,41,81,1,2,A,8,27,16,0,28,D
94885,94886,18-30,Male,Beginner,27,28,4,50,60,47,49,10,4,C,11,3,40,14,21,R
39735,39736,18-30,Male,Beginner,13,12,18,61,82,59,13,6,4,B,18,20,49,2,3,R
94896,94897,18-30,Male,Beginner,23,22,0,6,72,71,11,7,4,A,15,12,21,5,23,D
4856,4857,18-30,Male,Beginner,39,28,10,99,90,59,79,0,0,A,11,14,16,12,5,R
94900,94901,18-30,Male,Beginner,13,2,3,0,47,10,77,3,4,B,5,32,5,3,18,D
39497,39498,18-30,Male,Beginner,23,25,20,29,84,5,77,6,4,A,8,9,45,16,5,D
39495,39496,18-30,Male,Beginner,32,25,14,68,19,51,90,8,4,B,14,8,26,0,21,R
4894,4895,18-30,Male,Beginner,42,3,14,53,9,76,67,4,0,C,8,19,11,2,13,R
93995,93996,18-30,Male,Beginner,0,22,21,14,10,16,53,3,3,A,14,12,11,1,25,D
52288,52289,18-30,Male,Beginner,21,17,13,1,73,66,73,5,4,B,17,31,5,2,15,R
40136,40137,18-30,Male,Beginner,42,3,23,30,47,4,66,10,0,A,16,34,34,6,16,R
40145,40146,18-30,Male,Beginner,33,25,20,33,6,94,42,10,2,C,6,30,34,15,2,D
5940,5941,18-30,Male,Beginner,28,15,13,30,32,21,35,7,2,A,13,22,14,5,23,R
5438,5439,18-30,Male,Beginner,1,1,14,34,66,90,82,5,4,B,2,15,31,7,12,R
4957,4958,18-30,Male,Beginner,11,2,12,25,59,47,34,2,3,B,17,3,26,20,8,R
93941,93942,18-30,Male,Beginner,16,23,22,48,97,20,31,10,4,C,2,13,42,5,8,D
