,Unnamed: 0,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
950,21565,21566,18-30,Male,Advanced,5,23,10,17,8,64,87,3,1,C,3,0,6,6,12,D
958,77442,77443,18-30,Male,Advanced,5,3,2,30,45,32,23,7,2,B,8,20,19,19,8,D
966,23090,23091,18-30,Male,Advanced,17,12,5,21,84,24,89,2,0,C,6,10,4,20,14,D
971,77575,77576,18-30,Male,Advanced,19,1,2,14,14,58,68,4,1,B,9,5,6,3,22,D
987,77323,77324,18-30,Male,Advanced,4,18,9,97,60,62,53,9,3,A,3,21,3,11,7,R
997,78013,78014,18-30,Male,Advanced,8,22,1,37,66,65,76,3,2,C,18,20,5,11,24,D
998,78015,78016,18-30,Male,Advanced,14,26,3,69,18,66,5,8,2,A,9,18,6,3,27,D
999,78018,78019,18-30,Male,Advanced,0,30,16,2,14,63,48,3,1,B,16,1,24,2,11,R
1001,77949,77950,18-30,Male,Advanced,8,15,8,52,98,8,37,5,2,C,13,25,0,20,5,R
1005,22442,22443,18-30,Male,Advanced,10,19,9,30,38,64,56,2,4,B,11,18,5,12,17,R
1020,22837,22838,18-30,Male,Advanced,4,21,5,86,56,79,76,7,4,C,0,23,4,12,27,D
1042,80747,80748,18-30,Male,Advanced,19,6,16,14,77,1,10,1,0,A,16,20,23,2,14,R
1048,80585,80586,18-30,Male,Advanced,19,9,7,68,93,57,19,7,2,C,17,17,14,12,23,R
1055,19867,19868,18-30,Male,Advanced,11,23,5,59,18,90,58,6,4,C,1,10,9,4,28,D
1058,80495,80496,18-30,Male,Advanced,0,10,12,42,96,14,8,0,3,A,2,2,13,5,27,D
1068,80849,80850,18-30,Male,Advanced,12,17,6,64,14,66,7,6,2,A,7,29,9,15,6,D
1077,81293,81294,18-30,Male,Advanced,8,9,12,73,6,92,54,9,0,A,18,16,18,7,5,R
1084,19185,19186,18-30,Male,Advanced,4,20,9,1,25,98,94,7,0,C,16,28,7,4,29,D
1094,19291,19292,18-30,Male,Advanced,20,19,8,91,8,12,40,7,2,C,10,16,17,19,29,R
1103,18960,18961,18-30,Male,Advanced,6,1,8,96,86,69,82,10,2,C,8,11,4,2,23,R
1105,19970,19971,18-30,Male,Advanced,8,14,14,44,21,55,71,10,4,A,15,17,5,7,8,D
1106,20884,20885,18-30,Male,Advanced,13,19,5,2,45,65,57,5,0,C,2,34,19,13,10,D
1113,79616,79617,18-30,Male,Advanced,2,22,12,34,50,96,63,6,1,B,7,7,19,12,12,R
1123,20953,20954,18-30,Male,Advanced,12,3,13,29,42,1,15,6,4,B,17,21,1,4,28,D
1128,21162,21163,18-30,Male,Advanced,5,12,13,70,50,34,31,4,1,C,14,7,0,9,22,R
1129,21138,21139,18-30,Male,Advanced,10,30,1,49,24,85,19,10,4,B,10,11,20,8,29,R
1130,21131,21132,18-30,Male,Advanced,14,2,11,62,52,3,39,1,1,A,13,18,12,13,29,D
1132,79356,79357,18-30,Male,Advanced,4,16,13,30,65,27,80,4,4,A,14,31,20,10,16,D
1141,20630,20631,18-30,Male,Advanced,4,6,5,1,5,65,43,8,0,C,17,13,1,7,26,R
1143,80201,80202,18-30,Male,Advanced,10,7,14,39,53,71,85,4,0,A,0,36,22,15,15,D
1151,80292,80293,18-30,Male,Advanced,8,1,16,20,95,9,61,1,3,A,8,30,24,15,24,R
1159,20235,20236,18-30,Male,Advanced,15,15,18,7,93,43,85,5,2,A,16,35,10,1,5,R
1160,20262,20263,18-30,Male,Advanced,11,15,20,72,70,30,22,0,4,C,2,14,3,3,0,D
1162,79808,79809,18-30,Male,Advanced,5,10,4,97,20,74,90,6,0,C,6,16,3,0,21,R
1164,20522,20523,18-30,Male,Advanced,7,30,8,38,82,6,11,1,3,C,7,11,16,12,24,D
1170,79882,79883,18-30,Male,Advanced,11,26,6,92,67,63,36,7,4,A,12,1,14,14,23,R
1178,32307,32308,18-30,Male,Advanced,3,8,11,69,30,48,65,0,3,A,3,27,11,4,23,D
1182,43798,43799,18-30,Male,Advanced,10,24,16,18,19,38,86,1,0,A,11,23,2,3,8,D
1200,44132,44133,18-30,Male,Advanced,16,13,15,60,55,65,69,0,3,B,10,17,17,19,0,D
1202,44092,44093,18-30,Male,Advanced,2,24,0,86,81,99,96,3,1,B,1,16,10,10,26,D
1205,55671,55672,18-30,Male,Advanced,10,20,19,48,5,5,15,4,3,A,9,33,0,8,20,D
1209,43970,43971,18-30,Male,Advanced,19,30,18,10,26,30,79,1,3,C,5,19,9,7,5,D
1224,56707,56708,18-30,Male,Advanced,14,4,11,33,91,87,76,6,4,A,0,5,3,11,2,D
1241,43461,43462,18-30,Male,Advanced,0,15,13,6,44,34,19,8,2,B,7,3,19,12,3,R
1250,44174,44175,18-30,Male,Advanced,18,17,14,1,73,0,62,10,0,C,7,18,21,9,26,D
1252,55567,55568,18-30,Male,Advanced,19,13,0,74,97,29,33,2,4,B,5,29,6,1,5,D
1253,54777,54778,18-30,Male,Advanced,4,7,4,66,18,26,48,4,3,B,4,21,5,14,28,R
1263,54971,54972,18-30,Male,Advanced,11,7,19,42,50,45,27,8,3,B,5,9,11,15,25,D
1264,44935,44936,18-30,Male,Advanced,3,25,3,10,85,8,73,5,0,B,2,33,11,11,12,D
1266,55037,55038,18-30,Male,Advanced,18,7,7,80,41,26,0,5,4,C,18,15,16,9,4,R
1279,54552,54553,18-30,Male,Advanced,18,30,10,93,99,59,40,1,3,A,16,27,8,15,19,D
1280,54581,54582,18-30,Male,Advanced,4,13,13,61,95,77,31,7,1,A,10,19,10,18,22,D
1282,45297,45298,18-30,Male,Advanced,10,9,7,24,78,47,64,5,0,B,15,2,7,5,23,R
1284,54617,54618,18-30,Male,Advanced,20,25,11,26,56,63,56,0,1,B,4,27,8,10,17,R
1286,55047,55048,18-30,Male,Advanced,3,13,16,5,4,17,10,2,4,A,3,31,4,9,9,R
1303,55563,55564,18-30,Male,Advanced,15,27,3,99,89,81,87,3,3,C,17,15,0,0,5,D
1305,44419,44420,18-30,Male,Advanced,4,15,14,81,6,59,79,9,1,A,11,33,22,9,23,R
1309,44720,44721,18-30,Male,Advanced,18,1,15,86,37,34,83,8,1,A,9,36,1,10,15,R
1312,55189,55190,18-30,Male,Advanced,12,5,10,36,89,84,16,0,0,B,16,0,10,0,17,R
1314,44652,44653,18-30,Male,Advanced,8,20,13,89,32,20,33,9,4,A,4,4,19,12,20,R
1323,44833,44834,18-30,Male,Advanced,2,16,6,27,16,19,34,8,4,B,8,33,0,4,4,D
1339,41467,41468,18-30,Male,Advanced,4,25,19,11,12,88,6,5,1,C,2,30,24,8,29,R
1343,41750,41751,18-30,Male,Advanced,6,2,4,84,69,68,72,6,1,A,13,30,19,13,17,D
1345,41918,41919,18-30,Male,Advanced,10,2,6,5,45,88,62,8,0,A,16,21,16,2,30,R
1346,41915,41916,18-30,Male,Advanced,0,6,15,58,27,60,57,0,1,A,3,29,23,12,4,D
1350,58027,58028,18-30,Male,Advanced,4,25,10,35,56,71,64,9,0,B,9,13,17,12,10,R
1366,41119,41120,18-30,Male,Advanced,18,3,14,53,66,87,9,8,4,A,7,13,4,18,11,D
1373,58907,58908,18-30,Male,Advanced,7,20,13,71,63,61,69,2,0,B,9,26,2,5,26,R
1378,58895,58896,18-30,Male,Advanced,14,20,16,84,66,50,81,2,4,C,6,20,0,17,12,D
1396,41216,41217,18-30,Male,Advanced,20,10,3,41,82,77,18,10,4,A,10,33,12,16,23,R
1401,57222,57223,18-30,Male,Advanced,18,3,15,53,23,56,35,7,3,B,1,8,1,17,10,D
1407,57203,57204,18-30,Male,Advanced,0,25,14,50,99,23,33,7,0,A,12,8,15,0,9,R
1409,42587,42588,18-30,Male,Advanced,10,30,4,24,44,99,29,3,2,B,11,5,18,14,19,R
1435,57930,57931,18-30,Male,Advanced,0,27,16,6,49,19,90,6,2,A,3,29,23,7,4,D
1438,57664,57665,18-30,Male,Advanced,3,30,11,44,19,81,6,7,3,C,13,29,21,19,14,R
1443,42133,42134,18-30,Male,Advanced,20,15,18,60,58,1,50,6,3,A,15,34,7,17,3,D
1451,57918,57919,18-30,Male,Advanced,5,6,3,67,69,27,0,8,0,C,17,22,5,20,6,D
1452,57751,57752,18-30,Male,Advanced,12,29,9,3,76,60,66,2,2,C,9,18,0,9,19,R
1456,57432,57433,18-30,Male,Advanced,8,12,16,0,56,72,24,7,0,A,11,20,1,11,9,D
1457,42506,42507,18-30,Male,Advanced,10,7,0,21,4,98,66,10,0,C,7,31,11,12,8,R
1458,42501,42502,18-30,Male,Advanced,16,18,13,46,93,17,46,7,2,B,18,16,9,10,15,D
1461,42423,42424,18-30,Male,Advanced,4,8,7,5,94,62,1,0,3,C,5,7,1,18,12,D
1466,57560,57561,18-30,Male,Advanced,10,15,9,58,86,68,33,8,4,C,17,30,0,18,7,R
1471,42548,42549,18-30,Male,Advanced,13,12,12,76,95,86,37,0,2,C,0,0,5,5,6,D
1473,54399,54400,18-30,Male,Advanced,2,12,2,41,84,41,48,10,4,A,2,17,11,2,18,R
1497,50772,50773,18-30,Male,Advanced,4,24,19,66,57,75,49,0,3,C,1,12,9,18,8,R
1510,51150,51151,18-30,Male,Advanced,5,15,1,40,70,71,8,0,1,A,0,33,4,10,29,R
1511,51575,51576,18-30,Male,Advanced,4,24,2,58,58,68,13,7,4,C,12,27,0,14,21,D
1524,51884,51885,18-30,Male,Advanced,5,0,13,30,45,46,99,9,0,B,6,29,23,14,20,D
1527,47845,47846,18-30,Male,Advanced,7,11,14,52,70,11,75,4,4,C,9,17,8,18,4,D
1528,51504,51505,18-30,Male,Advanced,8,0,7,0,32,23,52,3,1,A,6,20,20,7,16,R
1549,49250,49251,18-30,Male,Advanced,14,3,0,58,83,34,85,4,2,C,6,29,11,18,3,R
1562,49153,49154,18-30,Male,Advanced,15,22,0,10,5,35,74,9,2,C,3,20,3,9,17,D
1566,49612,49613,18-30,Male,Advanced,19,27,4,88,97,36,29,9,2,C,6,9,10,18,17,D
1579,49771,49772,18-30,Male,Advanced,15,2,18,17,33,42,90,4,1,C,16,32,5,14,10,R
