Player ID,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente,Partido,Edad,Género_x
99,23,4,2,7,98,55,31,9,3,C,13,7,36,7,30,D,1,<18,Masculino
100,48,12,3,61,39,91,3,7,3,C,11,15,28,4,28,D,1,<18,Masculino
101,18,3,4,46,79,56,19,8,0,C,11,2,44,10,3,D,1,<18,Masculino
102,50,30,0,16,37,95,35,8,0,B,15,9,7,4,26,R,1,<18,Masculino
103,24,1,3,16,76,75,31,1,3,C,14,6,21,16,23,R,1,<18,Masculino
104,20,15,11,89,86,47,27,6,1,B,12,20,28,3,7,D,1,<18,Masculino
105,11,8,23,12,53,41,76,6,4,A,10,36,1,14,28,D,1,<18,Masculino
106,40,8,9,16,21,26,0,3,4,A,16,30,40,18,20,D,1,<18,Masculino
107,32,5,22,37,15,73,59,8,1,B,14,22,48,1,12,D,1,<18,Masculino
108,49,10,24,80,27,51,55,7,0,B,13,26,49,16,21,R,1,<18,Masculino
109,3,21,20,77,34,41,34,0,3,B,9,21,44,11,7,R,1,<18,Masculino
110,41,23,25,44,59,31,29,1,4,B,11,26,0,16,14,R,1,<18,Masculino
111,6,21,19,5,44,25,53,1,3,C,15,3,43,9,16,D,1,<18,Masculino
112,21,0,23,34,45,24,35,10,1,A,14,23,19,17,4,R,1,<18,Masculino
113,32,3,24,13,71,74,54,7,3,C,9,22,20,18,19,D,1,<18,Masculino
114,16,12,12,71,54,22,88,0,1,B,3,18,36,17,3,D,1,<18,Masculino
115,23,22,22,60,85,97,79,3,0,C,8,2,7,12,10,D,1,<18,Masculino
116,33,12,13,14,84,56,57,9,1,C,8,26,26,13,17,R,1,<18,Masculino
117,27,12,22,53,25,51,82,4,1,A,10,2,46,15,9,D,1,<18,Masculino
118,42,1,4,26,84,86,64,8,4,C,10,27,34,17,16,R,1,<18,Masculino
119,40,8,3,12,24,92,68,6,3,A,6,16,5,17,29,D,1,<18,Masculino
120,38,23,13,30,64,30,50,7,4,B,9,30,44,15,14,R,1,<18,Masculino
121,21,7,9,34,5,63,21,10,2,C,3,9,43,16,5,D,1,<18,Masculino
122,48,6,16,59,22,70,87,8,1,B,4,21,18,6,22,R,1,<18,Masculino
123,16,3,9,5,63,32,100,6,2,A,4,29,17,11,20,D,1,<18,Masculino
124,33,17,25,68,86,84,52,4,4,B,10,20,0,1,15,R,1,<18,Masculino
125,5,2,6,85,42,1,99,4,3,B,8,35,24,9,14,D,1,<18,Masculino
126,45,27,15,57,22,17,35,9,4,A,15,22,26,4,7,D,1,<18,Masculino
127,5,5,0,48,95,46,67,10,3,B,8,11,6,20,8,D,1,<18,Masculino
128,33,11,16,22,29,32,35,5,3,B,3,24,43,2,10,R,1,<18,Masculino
129,0,11,20,88,76,100,51,4,0,B,1,19,41,18,26,D,1,<18,Masculino
130,9,20,8,33,17,97,52,10,1,C,13,6,28,12,1,D,1,<18,Masculino
131,20,27,5,25,86,83,81,8,4,B,2,28,30,11,26,D,1,<18,Masculino
132,4,7,18,46,78,34,49,2,3,A,17,28,43,2,12,R,1,<18,Masculino
133,1,21,12,4,96,50,79,2,4,C,5,12,42,5,3,D,1,<18,Masculino
134,21,21,2,89,20,17,40,6,4,C,10,2,35,13,26,D,1,<18,Masculino
135,47,0,6,19,56,87,17,6,3,A,17,1,18,3,8,R,1,<18,Masculino
136,1,3,21,5,22,71,21,5,2,B,11,15,5,12,4,D,1,<18,Masculino
137,9,20,8,69,90,29,65,2,1,C,4,29,24,18,18,R,1,<18,Masculino
138,33,27,21,58,44,43,20,6,1,C,8,5,30,17,21,D,1,<18,Masculino
139,15,10,4,63,43,52,99,4,0,C,17,6,8,2,30,R,1,<18,Masculino
140,47,2,9,17,81,9,43,6,0,B,18,4,19,19,2,R,1,<18,Masculino
141,50,12,22,3,87,86,46,1,0,C,2,6,9,5,29,R,1,<18,Masculino
142,38,24,16,16,46,51,38,5,1,A,8,33,36,15,20,D,1,<18,Masculino
143,21,16,11,13,39,48,28,7,2,B,3,31,26,19,2,D,1,<18,Masculino
144,11,21,22,77,50,10,53,0,1,A,16,12,12,2,5,R,1,<18,Masculino
145,23,21,15,12,41,65,89,3,1,A,16,29,40,11,27,D,1,<18,Masculino
146,46,9,2,6,6,57,84,10,1,C,1,24,1,18,9,D,1,<18,Masculino
147,39,20,24,43,49,89,16,0,1,C,8,20,49,18,4,R,1,<18,Masculino
148,37,11,21,14,47,35,79,0,2,C,8,20,20,3,29,R,1,<18,Masculino
149,9,14,8,18,83,32,59,9,0,A,4,27,32,0,24,R,1,<18,Masculino
150,34,20,14,62,90,46,30,10,4,B,14,19,23,1,2,R,1,<18,Masculino
151,50,9,4,34,5,12,72,7,0,C,14,33,43,12,21,D,1,<18,Masculino
152,48,13,22,80,90,39,94,6,0,C,2,4,41,12,23,D,1,<18,Masculino
153,31,12,12,34,8,88,77,9,4,A,18,17,33,1,6,D,1,<18,Masculino
154,6,4,13,18,56,67,48,0,1,B,2,10,8,18,21,D,1,<18,Masculino
155,20,5,19,19,30,41,100,10,2,A,5,16,1,15,29,D,1,<18,Masculino
156,19,23,14,99,20,18,1,1,2,C,3,21,29,11,30,D,1,<18,Masculino
157,25,1,15,34,89,81,47,3,0,A,12,36,21,0,17,R,1,<18,Masculino
158,3,21,22,31,39,100,13,0,4,C,12,19,45,8,30,D,1,<18,Masculino
159,45,16,12,47,44,93,58,2,3,B,10,5,10,16,22,D,1,<18,Masculino
160,21,3,16,43,76,18,96,7,1,A,4,33,42,9,7,D,1,<18,Masculino
161,14,13,22,23,48,57,98,7,0,C,0,13,16,17,0,R,1,<18,Masculino
162,39,9,7,60,86,22,57,7,2,C,8,22,35,18,30,R,1,<18,Masculino
163,20,2,20,16,19,53,57,5,4,C,16,19,12,6,24,D,1,<18,Masculino
164,14,24,1,70,100,79,50,5,4,C,0,12,6,18,3,R,1,<18,Masculino
165,21,2,4,49,91,64,83,4,0,A,2,31,15,14,23,R,1,<18,Masculino
166,27,14,5,64,16,11,1,8,3,C,14,25,32,8,30,D,1,<18,Masculino
167,13,5,11,98,27,23,40,3,2,A,9,13,44,9,25,D,1,<18,Masculino
168,26,16,17,31,40,33,82,9,0,C,7,35,0,19,6,D,1,<18,Masculino
169,40,11,21,35,65,52,100,6,3,A,11,7,10,19,13,R,1,<18,Masculino
170,39,21,21,12,24,7,81,0,4,A,14,21,5,3,12,R,1,<18,Masculino
171,27,19,0,69,57,17,15,8,1,C,8,21,19,5,9,D,1,<18,Masculino
172,25,23,16,57,40,56,3,6,2,C,9,15,34,3,22,R,1,<18,Masculino
173,48,28,10,13,5,4,11,9,2,C,8,26,43,4,17,R,1,<18,Masculino
174,1,10,9,36,74,25,28,8,3,C,14,9,36,8,0,R,1,<18,Masculino
175,24,24,18,78,37,29,6,6,0,B,0,24,40,11,3,D,1,<18,Masculino
176,2,3,13,67,5,53,13,1,4,C,1,30,25,7,27,D,1,<18,Masculino
177,7,25,25,39,44,12,11,5,3,C,18,20,11,20,15,D,1,<18,Masculino
178,43,27,9,58,74,82,98,9,1,C,13,26,29,4,15,D,1,<18,Masculino
179,32,25,14,79,13,28,4,10,1,A,7,16,27,10,17,D,1,<18,Masculino
180,41,5,18,91,65,2,80,3,1,C,5,32,26,10,7,R,1,<18,Masculino
181,34,0,3,15,39,89,31,2,3,A,11,30,41,12,9,R,1,<18,Masculino
182,5,19,1,61,2,57,73,1,4,A,14,25,18,13,15,R,1,<18,Masculino
183,38,22,8,3,98,75,42,5,2,A,13,20,4,7,22,R,1,<18,Masculino
184,22,27,9,44,96,1,80,7,0,A,0,35,4,17,23,R,1,<18,Masculino
185,24,15,10,89,23,74,68,5,2,B,10,0,40,18,10,R,1,<18,Masculino
186,49,14,13,27,18,27,44,8,4,C,2,3,26,11,5,D,1,<18,Masculino
187,42,16,6,95,17,81,8,4,2,A,18,3,27,11,0,D,1,<18,Masculino
188,18,7,22,65,63,76,48,1,3,C,17,25,25,17,29,R,1,<18,Masculino
189,4,27,14,30,87,100,32,7,1,A,1,3,26,9,28,D,1,<18,Masculino
190,50,25,21,2,34,85,99,8,4,B,6,8,48,6,28,R,1,<18,Masculino
191,10,11,18,7,61,75,99,9,4,A,7,29,41,17,11,R,1,<18,Masculino
192,11,26,21,23,0,1,17,3,2,C,18,3,20,11,24,D,1,<18,Masculino
193,9,21,14,14,99,100,8,5,3,C,14,4,0,13,5,D,1,<18,Masculino
194,7,20,23,42,24,6,61,10,2,B,9,22,27,14,27,R,1,<18,Masculino
195,23,9,7,30,44,25,56,9,2,C,0,15,47,15,12,D,1,<18,Masculino
196,27,26,10,72,48,89,28,7,4,C,5,21,14,1,25,R,1,<18,Masculino
197,40,14,8,44,97,87,77,8,2,A,12,36,16,17,16,R,1,<18,Masculino
198,35,29,14,65,88,75,24,4,1,C,13,7,25,11,0,R,1,<18,Masculino
199,36,8,0,7,15,15,14,5,2,A,2,32,19,15,7,R,1,<18,Masculino
200,20,1,0,70,97,22,5,10,1,B,10,15,24,12,21,R,1,<18,Masculino
201,7,4,18,56,92,39,41,3,4,C,2,4,12,19,7,D,1,18-30,Masculino
202,8,5,2,79,18,59,28,4,3,A,18,15,32,16,23,R,1,18-30,Masculino
203,46,6,9,98,22,72,78,6,1,C,9,6,24,17,30,D,1,18-30,Masculino
204,14,20,7,29,82,31,92,8,3,A,14,0,7,2,10,R,1,18-30,Masculino
205,47,24,14,73,24,14,3,9,3,B,10,8,4,9,13,D,1,18-30,Masculino
206,45,0,9,17,15,100,81,10,1,A,14,17,5,0,23,R,1,18-30,Masculino
207,39,22,0,68,53,12,56,5,4,C,12,2,22,5,9,D,1,18-30,Masculino
208,17,25,17,92,72,4,48,5,0,A,4,23,29,2,14,R,1,18-30,Masculino
209,41,6,1,38,0,74,43,7,3,C,3,27,13,18,6,R,1,18-30,Masculino
210,19,19,18,59,41,73,79,10,3,B,12,9,22,3,6,D,1,18-30,Masculino
211,5,24,12,97,18,51,74,3,4,A,8,8,10,19,9,D,1,18-30,Masculino
212,11,29,21,42,96,76,13,2,4,C,16,12,30,2,3,D,1,18-30,Masculino
213,1,11,0,44,33,40,2,6,2,C,1,34,5,7,24,D,1,18-30,Masculino
214,6,15,1,22,79,52,61,4,4,C,4,22,10,7,27,D,1,18-30,Masculino
215,15,15,15,68,54,49,63,1,3,A,15,16,12,6,17,D,1,18-30,Masculino
216,2,10,14,93,17,14,44,1,1,A,6,6,11,1,26,R,1,18-30,Masculino
217,44,20,12,5,33,6,81,10,0,A,0,15,1,20,24,R,1,18-30,Masculino
218,2,3,15,55,88,39,57,5,2,B,11,35,34,5,9,R,1,18-30,Masculino
219,26,12,16,3,44,27,19,7,1,C,10,19,35,15,18,D,1,18-30,Masculino
220,49,6,20,92,5,31,57,0,0,C,11,23,16,9,13,D,1,18-30,Masculino
221,42,3,6,22,20,98,88,10,0,B,18,4,27,3,12,D,1,18-30,Masculino
222,39,14,23,5,69,14,56,5,0,B,11,5,27,12,14,R,1,18-30,Masculino
223,37,18,25,31,95,99,76,1,1,A,11,27,21,9,15,D,1,18-30,Masculino
224,32,8,16,17,47,84,67,1,2,A,13,4,37,20,1,R,1,18-30,Masculino
225,27,10,6,14,38,69,77,6,2,A,1,1,6,13,28,D,1,18-30,Masculino
226,0,7,12,39,30,64,96,9,0,A,1,20,14,8,3,D,1,18-30,Masculino
227,7,0,4,95,9,3,91,0,1,A,3,36,31,10,20,D,1,18-30,Masculino
228,36,22,25,72,29,10,51,5,0,A,15,17,10,17,17,R,1,18-30,Masculino
229,31,24,16,100,17,25,36,6,4,B,9,11,23,10,28,D,1,18-30,Masculino
230,47,23,2,73,59,60,7,7,2,B,12,16,2,16,30,R,1,18-30,Masculino
231,42,7,6,83,87,36,43,6,3,B,1,36,29,1,16,D,1,18-30,Masculino
232,36,12,25,5,72,22,97,5,0,C,2,14,5,2,9,D,1,18-30,Masculino
233,3,21,16,62,94,92,4,8,4,C,18,6,1,10,26,D,1,18-30,Masculino
234,29,26,6,66,14,84,68,2,2,A,5,13,13,17,20,D,1,18-30,Masculino
235,5,3,20,10,3,90,30,10,1,B,18,0,40,2,8,R,1,18-30,Masculino
236,45,7,0,42,62,39,44,5,2,C,18,2,17,14,14,D,1,18-30,Masculino
237,18,2,16,16,39,76,8,3,1,C,7,36,50,10,27,R,1,18-30,Masculino
238,31,28,16,95,8,22,31,1,1,B,13,30,43,10,11,D,1,18-30,Masculino
239,8,8,10,3,8,15,32,0,0,C,9,12,30,19,30,D,1,18-30,Masculino
240,11,28,24,62,25,93,66,0,0,C,2,17,12,10,20,D,1,18-30,Masculino
241,10,1,2,67,3,60,29,10,2,B,5,16,25,18,27,R,1,18-30,Masculino
242,45,1,14,80,80,67,75,9,4,C,14,16,43,0,26,D,1,18-30,Masculino
243,15,27,20,40,15,79,28,2,2,B,17,10,11,4,25,R,1,18-30,Masculino
244,0,12,10,82,14,30,2,3,3,C,13,19,17,9,8,R,1,18-30,Masculino
245,44,14,25,4,98,52,89,1,1,B,18,9,8,9,13,D,1,18-30,Masculino
246,20,27,15,31,51,24,56,10,1,C,9,28,48,13,12,R,1,18-30,Masculino
247,29,22,24,85,68,43,29,10,0,C,14,33,20,1,27,D,1,18-30,Masculino
248,12,11,21,69,4,11,8,10,4,B,3,16,47,3,25,R,1,18-30,Masculino
249,33,25,8,34,19,89,25,0,0,C,1,12,48,1,5,R,1,18-30,Masculino
250,3,3,23,21,78,100,1,3,3,B,2,26,39,17,18,R,1,18-30,Masculino
251,27,25,23,64,17,96,61,6,2,B,6,25,42,12,3,R,1,18-30,Masculino
252,37,7,0,83,1,91,2,9,2,C,15,27,23,18,19,D,1,18-30,Masculino
253,30,8,24,21,92,8,45,10,4,A,9,12,33,4,16,R,1,18-30,Masculino
254,26,22,21,10,12,11,67,5,0,C,18,11,7,19,18,D,1,18-30,Masculino
255,4,4,15,76,3,68,24,5,0,A,16,27,43,1,2,R,1,18-30,Masculino
256,24,23,8,2,41,53,50,10,3,A,18,1,32,10,28,D,1,18-30,Masculino
257,2,19,18,8,73,53,12,8,2,C,4,36,22,17,13,D,1,18-30,Masculino
258,32,17,11,59,60,27,43,1,0,A,12,33,12,5,16,R,1,18-30,Masculino
259,3,10,18,75,94,55,34,3,4,B,12,22,48,9,12,R,1,18-30,Masculino
260,24,14,21,86,7,98,54,4,2,B,10,28,13,16,8,D,1,18-30,Masculino
261,19,27,8,13,66,68,86,0,3,A,10,34,13,10,26,R,1,18-30,Masculino
262,33,21,6,96,62,97,8,7,4,B,15,10,15,18,0,R,1,18-30,Masculino
263,25,8,13,17,8,97,1,7,1,C,14,32,48,16,24,R,1,18-30,Masculino
264,4,16,18,72,93,76,60,5,3,B,16,10,37,3,16,R,1,18-30,Masculino
265,34,26,18,22,10,57,40,4,4,A,17,8,38,13,15,R,1,18-30,Masculino
266,27,25,1,73,98,77,43,7,0,C,18,13,25,19,17,R,1,18-30,Masculino
267,28,11,8,82,100,74,63,2,1,B,3,8,25,3,1,R,1,18-30,Masculino
268,8,6,12,46,41,41,30,2,3,C,4,2,0,13,13,R,1,18-30,Masculino
269,37,9,14,68,12,37,46,1,0,A,6,28,31,3,21,R,1,18-30,Masculino
270,49,24,2,46,35,67,1,4,1,B,1,18,14,5,22,D,1,18-30,Masculino
271,5,25,10,86,12,52,95,2,2,C,0,35,20,8,26,R,1,18-30,Masculino
272,18,24,20,29,11,32,81,2,0,C,11,31,17,20,16,R,1,18-30,Masculino
273,43,9,13,24,36,70,76,5,4,B,9,6,29,11,2,R,1,18-30,Masculino
274,10,26,24,27,73,55,68,7,3,C,7,27,12,7,1,R,1,18-30,Masculino
275,1,12,7,97,72,71,57,1,1,C,0,17,23,3,7,R,1,18-30,Masculino
276,46,18,17,24,51,100,43,3,0,A,11,4,29,4,24,D,1,18-30,Masculino
277,43,10,18,73,70,50,73,10,2,A,1,22,1,5,28,D,1,18-30,Masculino
278,43,12,15,77,1,73,55,6,3,A,9,21,18,4,1,R,1,18-30,Masculino
279,8,20,1,57,55,42,42,0,3,A,16,25,46,18,1,D,1,18-30,Masculino
280,20,7,7,93,59,14,88,0,0,A,2,11,43,7,25,R,1,18-30,Masculino
281,23,7,21,40,22,37,33,9,2,A,6,18,46,8,30,R,1,18-30,Masculino
282,33,3,5,24,39,14,100,6,1,B,11,0,24,14,8,D,1,18-30,Masculino
283,21,14,11,77,63,4,29,6,0,A,7,2,49,3,29,D,1,18-30,Masculino
284,2,30,14,98,84,92,70,0,1,C,11,26,13,8,19,D,1,18-30,Masculino
285,11,27,24,47,22,82,69,0,3,B,2,17,5,6,20,D,1,18-30,Masculino
286,27,10,7,97,28,53,54,3,1,C,16,29,11,7,28,D,1,18-30,Masculino
287,29,10,3,9,77,50,66,4,2,A,8,1,19,14,26,R,1,18-30,Masculino
288,25,0,14,98,89,9,12,4,4,A,9,4,22,18,24,R,1,18-30,Masculino
289,47,16,19,74,50,11,2,3,2,C,5,28,29,14,5,R,1,18-30,Masculino
290,20,14,24,10,68,3,25,7,1,C,0,32,29,4,25,D,1,18-30,Masculino
291,27,19,16,84,94,94,56,6,0,C,11,19,37,18,11,R,1,18-30,Masculino
292,25,5,12,20,88,17,23,8,3,B,4,29,29,6,24,D,1,18-30,Masculino
293,32,23,17,85,30,79,52,6,4,A,12,4,40,5,8,R,1,18-30,Masculino
294,20,21,1,44,49,35,69,9,0,C,14,20,29,18,6,D,1,18-30,Masculino
295,34,27,12,6,19,24,42,0,0,A,10,14,35,16,29,D,1,18-30,Masculino
296,33,24,12,80,54,86,59,6,2,C,7,19,48,9,11,R,1,18-30,Masculino
297,40,14,21,63,80,75,57,0,1,A,4,7,33,18,25,R,1,18-30,Masculino
298,50,30,14,63,1,97,48,6,2,B,1,30,15,10,24,R,1,18-30,Masculino
299,46,8,19,1,24,35,41,9,1,A,11,11,23,14,4,R,1,18-30,Masculino
300,17,13,9,75,12,100,75,7,2,C,1,20,13,9,15,D,1,18-30,Masculino
301,10,17,2,41,91,66,99,10,0,A,15,29,25,10,4,R,1,18-30,Masculino
302,22,25,18,81,69,8,65,8,3,B,2,26,7,2,11,D,1,18-30,Masculino
303,47,16,2,53,66,60,10,2,1,B,9,25,13,2,23,R,1,18-30,Masculino
304,21,17,21,74,57,52,97,3,4,A,18,32,30,17,25,R,1,18-30,Masculino
305,16,4,13,15,98,17,89,3,4,C,7,25,1,10,19,R,1,18-30,Masculino
306,4,19,7,17,81,42,17,8,0,B,6,25,47,19,8,R,1,18-30,Masculino
307,43,19,22,98,74,34,84,6,2,B,0,35,3,17,22,R,1,18-30,Masculino
